fecha,CODRUTA,NCOORD,TAREA_CERRADA,HMIN,HMAX,OPCIONES,KM_REPARTO,TIME_REPARTO,KM_REGRESO,TIME_REGRESO
"2021-07-17 00:00:00",5114,367,0,"2021-07-17 05:28:00","2021-07-17 08:32:00",2,26.35,168,6.63,14
"2021-07-17 00:00:00",5201,536,0,"2021-07-17 04:07:00","2021-07-17 07:04:00",2,35.26,168,10.33,15
"2021-07-17 00:00:00",5301,336,0,"2021-07-17 03:57:00","2021-07-17 05:24:00",2,34.38,168,21.58,26
"2021-07-17 00:00:00",5401,809,0,"2021-07-17 04:01:00","2021-07-17 07:44:00",2,20.46,168,11.94,19
"2021-07-17 00:00:00",5503,424,0,"2021-07-17 03:49:00","2021-07-17 06:56:00",2,37.28,168,20.81,21
"2021-07-17 00:00:00",5801,290,0,"2021-07-17 04:02:00","2021-07-17 07:01:00",2,24.02,168,14.04,17
"2021-07-17 00:00:00",6305,416,0,"2021-07-17 04:10:00","2021-07-17 07:18:00",2,45.26,168,25.96,27
"2021-07-17 00:00:00",6707,460,0,"2021-07-17 04:14:00","2021-07-17 06:53:00",2,30.47,168,9.72,19
"2021-07-17 00:00:00",7204,219,0,"2021-07-17 05:09:00","2021-07-17 06:41:00",2,49.34,168,20.12,25
"2021-07-17 00:00:00",7402,482,0,"2021-07-17 04:40:00","2021-07-17 07:56:00",2,27.87,168,11.83,13
"2021-07-18 00:00:00",1903,783,0,"2021-07-18 07:32:00","2021-07-18 10:04:00",2,27.41,168,11.58,24
"2021-07-18 00:00:00",2517,379,0,"2021-07-18 08:05:00","2021-07-18 09:55:00",2,66.15,168,56.19,52
"2021-07-18 00:00:00",3022,487,0,"2021-07-18 04:05:00","2021-07-18 09:05:00",2,115.21,168,73.38,52
"2021-07-18 00:00:00",3030,507,0,"2021-07-18 04:53:00","2021-07-18 08:36:00",2,77.24,168,40.45,30
"2021-07-18 00:00:00",3041,980,0,"2021-07-18 04:42:00","2021-07-18 10:23:00",2,79.42,168,25.44,24
"2021-07-18 00:00:00",3062,522,0,"2021-07-18 05:47:00","2021-07-18 09:35:00",2,22.17,168,2.17,6
"2021-07-18 00:00:00",3064,533,0,"2021-07-18 05:02:00","2021-07-18 09:24:00",2,57.23,168,17.43,23
"2021-07-18 00:00:00",3065,336,0,"2021-07-18 06:20:00","2021-07-18 08:57:00",2,38.68,168,6.88,13
"2021-07-18 00:00:00",3066,490,0,"2021-07-18 04:56:00","2021-07-18 08:32:00",2,44.98,168,12.54,11
"2021-07-18 00:00:00",3068,537,0,"2021-07-18 04:56:00","2021-07-18 08:36:00",2,46,168,10.62,9
"2021-07-18 00:00:00",3092,350,0,"2021-07-18 05:42:00","2021-07-18 09:33:00",2,28.6,168,2.17,8
"2021-07-18 00:00:00",3093,1110,0,"2021-07-18 06:14:00","2021-07-18 09:04:00",2,30.72,168,1.48,6
"2021-07-18 00:00:00",3095,584,0,"2021-07-18 06:14:00","2021-07-18 08:53:00",2,27.19,168,1.62,5
"2021-07-18 00:00:00",3601,260,0,"2021-07-18 03:45:00","2021-07-18 06:24:00",2,36.81,168,17.35,22
